file,side,direction,sample_rate,num_sensors,timestamp
motion_00000.npy,left,front_to_back,1000,5,2026-09-20T08:24:41.434792+00:00
motion_00001.npy,left,front_to_back,1000,5,2026-09-20T08:24:45.105255+00:00
motion_00002.npy,left,front_to_back,1000,5,2026-09-20T08:24:47.419893+00:00
motion_00003.npy,left,front_to_back,1000,5,2026-09-20T08:24:49.703012+00:00
motion_00004.npy,left,front_to_back,1000,5,2026-09-20T08:24:53.436763+00:00
motion_00005.npy,left,front_to_back,1000,5,2026-09-20T08:24:55.362230+00:00
motion_00006.npy,left,front_to_back,1000,5,2026-09-20T08:24:57.245776+00:00
motion_00007.npy,left,front_to_back,1000,5,2026-09-20T08:24:59.129973+00:00
motion_00008.npy,left,front_to_back,1000,5,2026-09-20T08:25:01.378029+00:00
motion_00009.npy,left,front_to_back,1000,5,2026-09-20T08:25:03.355677+00:00
motion_00010.npy,left,front_to_back,1000,5,2026-09-20T08:25:06.881891+00:00
motion_00011.npy,left,front_to_back,1000,5,2026-09-20T08:25:08.722889+00:00
motion_00012.npy,left,front_to_back,1000,5,2026-09-20T08:25:10.253990+00:00
motion_00013.npy,left,front_to_back,1000,5,2026-09-20T08:25:11.829214+00:00
motion_00014.npy,left,front_to_back,1000,5,2026-09-20T08:25:14.085101+00:00
motion_00015.npy,left,front_to_back,1000,5,2026-09-20T08:25:16.027066+00:00
motion_00016.npy,left,front_to_back,1000,5,2026-09-20T08:25:18.580133+00:00
motion_00017.npy,left,front_to_back,1000,5,2026-09-20T08:25:20.277945+00:00
motion_00018.npy,left,front_to_back,1000,5,2026-09-20T08:25:24.141303+00:00
motion_00019.npy,left,front_to_back,1000,5,2026-09-20T08:25:26.505591+00:00
motion_00020.npy,left,back_to_front,1000,5,2026-09-20T08:25:31.246949+00:00
motion_00021.npy,left,back_to_front,1000,5,2026-09-20T08:25:33.458525+00:00
motion_00022.npy,left,back_to_front,1000,5,2026-09-20T08:25:35.375491+00:00
motion_00023.npy,left,back_to_front,1000,5,2026-09-20T08:25:37.251412+00:00
motion_00024.npy,left,back_to_front,1000,5,2026-09-20T08:25:38.922681+00:00
motion_00025.npy,left,back_to_front,1000,5,2026-09-20T08:25:40.512521+00:00
motion_00026.npy,left,back_to_front,1000,5,2026-09-20T08:25:42.525714+00:00
motion_00027.npy,left,back_to_front,1000,5,2026-09-20T08:25:44.732472+00:00
motion_00028.npy,left,back_to_front,1000,5,2026-09-20T08:25:46.532300+00:00
motion_00029.npy,left,back_to_front,1000,5,2026-09-20T08:25:48.822830+00:00
motion_00030.npy,left,back_to_front,1000,5,2026-09-20T08:25:50.641523+00:00
motion_00031.npy,left,back_to_front,1000,5,2026-09-20T08:25:53.084184+00:00
