file,touch_type,location,source,sample_rate,num_sensors,timestamp
touch_00000.npy,tap,head,simulated,2000,8,
touch_00001.npy,tap,head,simulated,2000,8,
touch_00002.npy,tap,head,simulated,2000,8,
touch_00003.npy,tap,head,simulated,2000,8,
touch_00004.npy,tap,head,simulated,2000,8,
touch_00005.npy,tap,head,simulated,2000,8,
touch_00006.npy,tap,head,simulated,2000,8,
touch_00007.npy,tap,head,simulated,2000,8,
touch_00008.npy,tap,head,simulated,2000,8,
touch_00009.npy,tap,head,simulated,2000,8,
touch_00010.npy,tap,head,simulated,2000,8,
touch_00011.npy,tap,head,simulated,2000,8,
touch_00012.npy,tap,head,simulated,2000,8,
touch_00013.npy,tap,head,simulated,2000,8,
touch_00014.npy,tap,head,simulated,2000,8,
touch_00015.npy,tap,head,simulated,2000,8,
touch_00016.npy,tap,head,simulated,2000,8,
touch_00017.npy,tap,head,simulated,2000,8,
touch_00018.npy,tap,head,simulated,2000,8,
touch_00019.npy,tap,head,simulated,2000,8,
touch_00020.npy,tap,head,simulated,2000,8,
touch_00021.npy,tap,head,simulated,2000,8,
touch_00022.npy,tap,head,simulated,2000,8,
touch_00023.npy,tap,head,simulated,2000,8,
touch_00024.npy,tap,head,simulated,2000,8,
touch_00025.npy,tap,head,simulated,2000,8,
touch_00026.npy,tap,head,simulated,2000,8,
touch_00027.npy,tap,head,simulated,2000,8,
touch_00028.npy,tap,head,simulated,2000,8,
touch_00029.npy,tap,head,simulated,2000,8,
touch_00030.npy,tap,front_left,simulated,2000,8,
touch_00031.npy,tap,front_left,simulated,2000,8,
touch_00032.npy,tap,front_left,simulated,2000,8,
touch_00033.npy,tap,front_left,simulated,2000,8,
touch_00034.npy,tap,front_left,simulated,2000,8,
touch_00035.npy,tap,front_left,simulated,2000,8,
touch_00036.npy,tap,front_left,simulated,2000,8,
touch_00037.npy,tap,front_left,simulated,2000,8,
touch_00038.npy,tap,front_left,simulated,2000,8,
touch_00039.npy,tap,front_left,simulated,2000,8,
touch_00040.npy,tap,front_left,simulated,2000,8,
touch_00041.npy,tap,front_left,simulated,2000,8,
touch_00042.npy,tap,front_left,simulated,2000,8,
touch_00043.npy,tap,front_left,simulated,2000,8,
touch_00044.npy,tap,front_left,simulated,2000,8,
touch_00045.npy,tap,front_left,simulated,2000,8,
touch_00046.npy,tap,front_left,simulated,2000,8,
touch_00047.npy,tap,front_left,simulated,2000,8,
touch_00048.npy,tap,front_left,simulated,2000,8,
touch_00049.npy,tap,front_left,simulated,2000,8,
touch_00050.npy,tap,front_left,simulated,2000,8,
touch_00051.npy,tap,front_left,simulated,2000,8,
touch_00052.npy,tap,front_left,simulated,2000,8,
touch_00053.npy,tap,front_left,simulated,2000,8,
touch_00054.npy,tap,front_left,simulated,2000,8,
